name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
Harshi Super Sandwich,No,No,3.8,149,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150,Delivery
Mast Kalandar,No,No,2.3,176,JP Nagar,Casual Dining,"Raita, Thali, Paratha, Chole, Buttermilk, Paneer Bhurji, Rice",North Indian,450,NA
Targaryen's Kitchen,No,No,3.6,25,JP Nagar,Casual Dining,NA,"North Indian, Bengali, Chinese",550,Delivery
Durbari Restaurant,No,No,3.2,4,JP Nagar,Casual Dining,NA,"North Indian, Chinese, Mughlai",600,Delivery
Hot Burg,No,No,3.5,14,BTM,Quick Bites,NA,"Fast Food, Juices",300,Delivery
Chai Mane,No,No,3.2,6,Basavanagudi,"Beverage Shop, Quick Bites",NA,"Beverages, Sandwich",100,Delivery
Oggarne,No,No,3.2,13,Wilson Garden,"Takeaway, Delivery",NA,"South Indian, North Indian, Chinese",300,Delivery
Ghee Rice Family Restaurant,No,No,3.4,16,Wilson Garden,Casual Dining,NA,"North Indian, Chinese, Biryani",600,Delivery
South Indian Kitchen,No,No,3.3,6,JP Nagar,Quick Bites,NA,"Asian, BBQ, South Indian, Chinese",300,Delivery
Mongolian Kitchen,No,No,3.8,30,BTM,Quick Bites,NA,"Chinese, Mongolian",300,Delivery
Deja Vu Resto Bar,Yes,Yes,4.4,2496,Bannerghatta Road,Pub,"Gajar Ka Halwa, Hara Bhara Kebab, Custard, Brownie, Pasta, Sev Puri, Paan Ice Cream","North Indian, Italian",900,NA
Sk Grand Hotel,No,No,3.2,6,Jayanagar,Quick Bites,NA,South Indian,400,Delivery
Parivar,Yes,No,3.8,110,Jayanagar,Casual Dining,"Sea Food, Beer, Prawn, Neer Dosa, Palak Rice, Tandoori Chicken","North Indian, Chinese",500,NA
Dakshin Food Palace,Yes,No,3.7,43,JP Nagar,Casual Dining,NA,"South Indian, North Indian, Chinese",450,Delivery
Kamat Swaad,No,No,3.9,194,JP Nagar,Casual Dining,"Jowar Roti, Akki Rottis, Buttermilk, Idli, Thali, Vada, Bajji","South Indian, North Indian, Chinese",400,Delivery
J Spice,No,No,3.8,59,Banashankari,Casual Dining,"Stuffed Mushroom, Chicken Biryani, Jal-jeera","North Indian, Chinese",750,Delivery
Lassi Magic,Yes,No,3.5,12,BTM,Beverage Shop,NA,"Beverages, Sandwich",150,Delivery
Special Biriyani,No,No,2.9,4,JP Nagar,Quick Bites,NA,"North Indian, Biryani",300,Delivery
Parivaar,Yes,No,2.9,20,Koramangala 7th Block,Delivery,NA,"Biryani, North Indian, Chinese",600,Delivery
Laa Raiba Restaurant,No,No,3.3,7,Bannerghatta Road,Quick Bites,NA,"Kerala, Chinese, South Indian",300,Delivery
Ice Burg,No,No,0,0,JP Nagar,Quick Bites,NA,"Cafe, Continental, Desserts",300,Delivery
Tea Villa Cafe,No,Yes,4.2,657,Jayanagar,"Cafe, Casual Dining","Tea, Waffles, Coffee, Nutella Waffle, Wedges, Pizza, Pasta","Cafe, Continental, Mediterranean, Italian, Desserts",800,NA
Milano Ice Cream,No,No,4.5,208,Jayanagar,Dessert Parlor,"Chocolate Sundae, Gelato Ice Cream, Tiramisu, Chocolate Truffle, Coffee","Ice Cream, Desserts",400,Desserts
Thyme & Whisk,Yes,No,3.9,74,Jayanagar,Casual Dining,"Pizza, Momos, Pasta, Brownie, Nachos, Hot Chocolate, Waffles","Asian, Chinese, Continental, Italian",800,Desserts
Mane Holige,No,No,4.3,142,Jayanagar,"Sweet Shop, Quick Bites",Obbattu,"Mithai, South Indian",200,Desserts
Maiyas,Yes,No,4.0,1782,Jayanagar,Quick Bites,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath","North Indian, South Indian, Fast Food, Juices",200,Desserts
Natural Ice Cream,No,No,4.4,369,Jayanagar,Dessert Parlor,"Guava Ice Cream, Coffee Walnut, Tender Coconut Ice Cream, Waffle Cone, Mango Ice Cream, Fruit Ice Cream, Waffles","Ice Cream, Beverages",200,Desserts
Corner House Ice Cream,Yes,No,4.4,827,Jayanagar,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Malt, Thick Shakes, Chocolate Nut Sundae, Ice Cream Sundae, Fudge Cake, Coffee","Ice Cream, Desserts",400,Desserts
Cakewala,Yes,No,4.3,661,Jayanagar,Dessert Parlor,"Khara Bun, Mousse, Veg Puff, Rich Chocolate Cake, Fruit Cake, Chocolate Truffle, Rolls","Bakery, Desserts",500,Desserts
The Caramelts Cafe,No,No,4.1,227,Jayanagar,Cafe,"Burgers, Coffee, Pasta, Peri Peri Fries, Kit Kat Shake, Nachos, Paneer Tikka Pizza","Cafe, Salad, Wraps, Beverages",800,Desserts
Amma's Pastries,No,No,4.2,245,Jayanagar,Dessert Parlor,"Mousse, Cheesecake, Cup Cake, Veg Puff, Chocolate Truffle, Chocolate Cheese, Burgers",Bakery,400,Desserts
Cool Joint,No,No,4.2,822,Jayanagar,Beverage Shop,"Sandwiches, Hot Chocolate Fudge, Faluda, Paneer Sandwich, Grilled Sandwich, Cheese Sandwich, Tomato Soup","Beverages, Desserts",250,Desserts
Bubblewrap Waffle Co.,Yes,No,4.4,360,Jayanagar,Dessert Parlor,"Pizza Waffles, Sandwich, Hot Chocolate, Fries, Marshmallow, Cheesecake, Nutella Shake","Desserts, Beverages",400,Desserts
The Ganache Factory,No,No,4.2,128,Jayanagar,Delivery,"Red Velvet, Lime Pie, Nutella Cheesecake, Blueberry Cheesecake, Salted Caramel Brownie, Dessert Jar","Desserts, Bakery",400,Desserts
Polar Bear,Yes,No,4.0,150,Jayanagar,Dessert Parlor,"Sandwiches, Brownie, Hot Choco Fudge, Sandwich","Ice Cream, Desserts, Beverages, Sandwich",400,Desserts
Desi Rasoi,Yes,Yes,3.8,363,Jayanagar,Casual Dining,"Hara Bhara Kebab, Lunch Buffet, Naan, Babycorn Manchurian, Malai Kofta, Noodles, Gulab Jamun","Biryani, North Indian, Chinese, Rajasthani",600,Desserts
The Belgian Waffle Co.,Yes,No,3.8,151,Jayanagar,Dessert Parlor,Waffles,"Desserts, Beverages",350,Desserts
Roll Over,Yes,No,4.1,439,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Ice Cream, Beverages, Fast Food",500,Desserts
Starbucks,No,No,4.1,109,Jayanagar,Cafe,Coffee,"Cafe, Desserts",700,Desserts
Magic Meals,Yes,No,3.7,47,Jayanagar,"Quick Bites, Dessert Parlor","Biryani, Fries, Thick Shakes","Fast Food, Desserts, Beverages",400,Desserts
Iyengar Bakery,Yes,No,3.7,28,Jayanagar,"Bakery, Quick Bites",NA,"Bakery, Fast Food, Desserts, Beverages",200,Desserts
Cake Chemistry,Yes,No,0,0,Jayanagar,Bakery,NA,"Bakery, Desserts",500,Desserts
Bakers77,Yes,No,4.0,37,Jayanagar,"Bakery, Quick Bites",NA,"Bakery, Fast Food",400,Desserts
Ice Cream Works,Yes,No,4.1,193,Jayanagar,Dessert Parlor,"Paan Ice Cream, Madagascar Chocolate, Faluda, Cheesecake, Bubble Gum Ice Cream","Desserts, Ice Cream",300,Desserts
Baker's Glove,Yes,No,3.4,8,Jayanagar,"Bakery, Quick Bites",NA,"Desserts, Bakery",550,Desserts
Ice Stone Creamery,Yes,No,3.7,42,Jayanagar,Dessert Parlor,NA,"Desserts, Ice Cream",400,Desserts
Ibaco,Yes,No,4.0,129,Jayanagar,Dessert Parlor,"Icecream Cake, Brownie, Hot Chocolate, Belgian Chocolate, Salted Caramel",Desserts,300,Desserts
Sri Venkateshwara Sweet Meat Stall,No,No,4.1,201,Jayanagar,Quick Bites,"Paratha, Rasgulla Chaat, Mysore Pak, Panipuri, Pav Bhaji, Malai Kulfi, Mango Lassi",Street Food,250,Desserts
Sri Annapoorna Bajji Center,No,No,3.9,15,Jayanagar,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",100,Desserts
Waffle Stories,Yes,No,4.2,251,Jayanagar,Dessert Parlor,"Choco Blast Waffles, Coffee, Nitrogen Ice Cream, Brownie Sundae, Nutella Waffle, Kitkat Waffles, Brownie Waffle","Desserts, Beverages",300,Desserts
Bunny Bakers,No,No,3.6,31,Jayanagar,Bakery,NA,"Bakery, Fast Food",250,Desserts
Apsara Ice Cream,No,No,4.1,60,Jayanagar,Dessert Parlor,Friendly Staff,"Ice Cream, Desserts",200,Desserts
Baskin Robbins,Yes,No,3.6,25,Jayanagar,Dessert Parlor,NA,"Ice Cream, Desserts",250,Desserts
Tummy Fuel,Yes,No,4.2,450,Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400,Desserts
Just Bake,No,No,3.8,32,Jayanagar,"Bakery, Quick Bites",NA,"Bakery, Desserts",400,Desserts
Kanti Sweets,Yes,No,3.9,148,Jayanagar,Quick Bites,"Rasmalai, Kaju Katli, Paratha, Pav Bhaji, Badam Milk, Rasgulla, Dhokla","Mithai, Street Food",400,Desserts
Anand Sweets and Savouries,Yes,No,3.9,84,Jayanagar,Sweet Shop,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori","Mithai, Street Food",400,Desserts
Fudge,Yes,No,3.2,12,Jayanagar,Dessert Parlor,NA,"Desserts, Momos",200,Desserts
Jodhpur Sweets,No,No,2.9,10,Jayanagar,Sweet Shop,NA,"Mithai, Street Food, Rajasthani",150,Desserts
KC Das - Klassic Foods,No,No,3.0,18,Jayanagar,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",200,Desserts
Bombay Kulfi,Yes,No,3.8,18,Jayanagar,Dessert Parlor,NA,"Desserts, Ice Cream",150,Desserts
Butter Cup,No,No,3.5,9,Jayanagar,Dessert Parlor,NA,"Desserts, Bakery",250,Desserts
Heritage Cafe,Yes,No,3.6,11,Jayanagar,Quick Bites,NA,"Fast Food, Tea",200,Desserts
Cakeport,No,No,3.4,20,Jayanagar,Bakery,NA,Bakery,400,Desserts
Me And My Cake,No,No,3.3,4,Jayanagar,Takeaway,NA,"Bakery, Desserts",500,Desserts
Pop Hop,Yes,No,4.1,205,Jayanagar,Dessert Parlor,"Choco Hazelnut, Belgian Chocolate, Strawberry Sorbet, Mango Sorbet, Mango Cheesecake, Mojito, Belgium Chocolate","Ice Cream, Desserts",300,Desserts
Meraki Patisserie,No,No,3.3,6,Jayanagar,Bakery,NA,"Bakery, Desserts",350,Desserts
Mother Nature Kulfi,No,No,3.6,10,Jayanagar,Dessert Parlor,NA,"Desserts, Ice Cream",200,Desserts
Cafe Coffee Day,No,No,3.5,7,Jayanagar,Cafe,NA,"Cafe, Fast Food",900,Desserts
Mawa and Co,No,No,0,0,Jayanagar,Bakery,NA,"Bakery, Fast Food",300,Desserts
Two Friends Cauldron,Yes,Yes,4.1,459,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700,Desserts
Slate Cafe,Yes,No,4.1,55,JP Nagar,Cafe,"Pasta, Sandwiches, Pizza","Cafe, Sandwich, Burger",600,Desserts
LayerBite,Yes,No,3.8,10,BTM,Bakery,NA,"Bakery, Desserts, Beverages",450,Desserts
Poonam Sweets,No,No,4.4,358,Banashankari,Sweet Shop,"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori",Mithai,150,Desserts
Crafted Plate,Yes,Yes,4.2,239,JP Nagar,"Casual Dining, Cafe","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad",600,Desserts
CakeZone,No,No,4.1,338,BTM,Bakery,"Cheesecake, Chocolate Truffle, Cup Cake","Bakery, Desserts",500,Desserts
Old Mumbai Ice Cream,Yes,No,4.0,38,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150,Desserts
