name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
Casino Hotel,Yes,No,3.9 ,345,New BEL Road,Casual Dining,"Chicken Grill, Butter Naan, Paratha, Shawarma Roll, Biryani, Butter Chicken, Tandoori Chicken","North Indian, Chinese",500,Dine-out
Akshaya Deluxe,Yes,No,4.0 ,337,New BEL Road,Casual Dining,"Sea Food, Chicken Biryani, Naan, Neer Dosa, Chicken Curry, Mutton Biryani, Roti","North Indian, Chinese, Seafood, Biryani",500,Dine-out
Snow Lion Tibet Kitchen,No,No,3.9 ,263,New BEL Road,Quick Bites,"Momos, Thukpa, Noodles, Honey Chilli Potatoes, Clear Soup, Chicken Noodle, Crispy Noodle","Tibetan, Asian, Thai, Chinese, Momos",400,Dine-out
Burp,Yes,Yes,4.0 ,608,New BEL Road,Cafe,"Burgers, Chicken Soup, Minestrone Soup, Pasta, Au Gratin, Veggie Pizza, Chicken Burger","Cafe, Mexican, Italian, Pizza",800,NA
Cafe Mandala,Yes,No,3.9 ,48,New BEL Road,Cafe,Decor,"Cafe, North Indian, Chinese, Fast Food",600,Dine-out
Tawa Tandoor,Yes,Yes,3.9 ,117,New BEL Road,Casual Dining,"Masala Chaach, Roti, Dal Makhani, Panneer Butter Masala, Butter Kulcha, Paneer Tikka Biryani","North Indian, Chinese",700,Dine-out
Sagar Samrat,Yes,No,3.7 ,120,New BEL Road,Casual Dining,"Chaat, Mysore Masala Dosa, Onion Dosa, Vegetable Biryani, Filter Coffee, Panipuri, Pav Bhaji","North Indian, Chinese, South Indian",400,Dine-out
Onesta,Yes,Yes,4.4 ,4897,New BEL Road,"Casual Dining, Cafe","Oreo Delight, Apple Pie, Barbeque Chicken, Bbq Chicken, Stuffed Pizza, Ravioli, Mojito","Pizza, Cafe, Italian",600,Dine-out
Prashant Naati Corner,No,No,4.0 ,95,New BEL Road,Quick Bites,"Donne Biryani, Mutton Chops, Chicken Fry, Chicken Biryani","South Indian, Biryani",400,Dine-out
Plated,Yes,Yes,4.1 ,555,New BEL Road,Cafe,"Pasta, Waffles, Pancakes, Salsa, Nachos, Creme Brulee, Chips","Cafe, Continental",800,Dine-out
Mughlai Azam,Yes,Yes,4.0 ,117,New BEL Road,Casual Dining,"Dal Makhani, Roti, Adrak Ke Panje, Mocktails, Paratha, Lal Maans, Paneer Malai Tikka","Mughlai, Biryani, North Indian","1,400",Dine-out
Thalassery Restaurant,Yes,No,3.8 ,465,New BEL Road,Casual Dining,"Appam, Kerala Parotta, Sea Food, Idiyappam, Chicken Chettinad, Dum Biryani, Egg Curry","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600,Dine-out
Pizza Hut,Yes,No,3.6 ,436,New BEL Road,Casual Dining,"Pasta, Garlic Bread, Wedges, Veg Supreme Pizza, Pane Pizza, Masala Lemonade, Salads","Pizza, Fast Food",750,Dine-out
Nandhini Deluxe,No,Yes,3.7 ,511,New BEL Road,Casual Dining,"Thali, Hyderabadi Biryani, Mutton Biryani, Andhra Meal",North Indian,600,Dine-out
Chung Wah,Yes,No,4.0 ,539,New BEL Road,Casual Dining,"Noodles, Fish, Chicken Satay, Momos, Pork Ribs, Sweet Corn Soup, Clear Soup","Chinese, Momos, Thai, Vietnamese",650,Dine-out
Black Jack,No,No,3.7 ,318,New BEL Road,Bar,"Beer, Cocktails, Masala Peanuts","North Indian, Chinese","1,400",Dine-out
Lincoln Bistro,Yes,No,4.3 ,251,New BEL Road,Casual Dining,"Dumplings, Biryani, Pasta, Pizza, Taco Trio, Cheesecake, Chicken Wings","North Indian, Mughlai, Asian, Chinese",800,Dine-out
Peppermill Bistro,Yes,Yes,4.0 ,868,New BEL Road,"Casual Dining, Cafe","Pasta, Pizza, Mojito, Nachos, Lamb, Fries, Orange Juice","Continental, European, Mediterranean, Cafe, Steak","1,000",Dine-out
Prana,Yes,No,4.0 ,239,New BEL Road,Cafe,"Coffee, Appam, Kadala Curry, Onion Pakoda, Paneer Roll, Sweet Pongal, Kokum Juice","Cafe, Healthy Food, South Indian",500,Dine-out
B1,Yes,Yes,3.9 ,123,New BEL Road,Pub,Beer,"Continental, Burger, Italian, Pizza, North Indian, Salad","1,100",Dine-out
Kargeens,Yes,No,3.9 ,365,New BEL Road,Cafe,"Chocolate Milkshake, Mocktails, Burgers, Nachos, Virgin Mojito, Fries, Pizza","Cafe, Italian, Pizza, Continental",900,Dine-out
Freskka,Yes,No,4.0 ,702,New BEL Road,Casual Dining,"Momos, Salads, Lasagne, Risotto, Pesto Pasta, Pizza, Filter Coffee","Italian, American, Asian, Continental, Mexican, Momos",700,Dine-out
KA 12 - Flavour Of Coorg,Yes,No,4.0 ,105,New BEL Road,Quick Bites,"Chicken Curry, Akki Rottis, Pork Curry, Chilli Pork, Roti, Neer Dosa",South Indian,300,Dine-out
Jashn Hyderabadi Bawarchi,Yes,No,2.9 ,140,New BEL Road,Casual Dining,"Lemon Chicken, Hyderabadi Biryani","Hyderabadi, North Indian, Chinese, Biryani",650,Dine-out
New Prashanth Hotel,Yes,No,3.1 ,40,New BEL Road,Casual Dining,NA,"South Indian, Biryani, Chinese, North Indian",750,Dine-out
Ember The Calabash,Yes,No,4.1 ,670,New BEL Road,Cafe,"Spicy Crispy Corn, Mocktails, Chicken Wings, Pasta, Virgin Mojito, Pizza, Blueberry Mojito","Cafe, Italian, Continental, Beverages",800,Dine-out
THE BEL ST.,No,No,3.9 ,523,New BEL Road,"Cafe, Casual Dining","Pizza, Coffee, Pasta, Nachos, Mocktails, Fish, Sandwich","Cafe, Italian, American, Continental","1,100",Dine-out
The Egg Factory,Yes,No,4.0 ,380,New BEL Road,Casual Dining,"Healthy Breakfast, Rolls, Egg Chilli, Pesto Pasta, Egg Bhurji, Burgers, Omelette","Continental, American",750,Dine-out
My Place - Gokulam Grand Hotel & Spa,No,Yes,4.2 ,426,New BEL Road,"Casual Dining, Lounge","Paratha, Butter Chicken, Burgers, Sunday Brunch, Cocktails, Akki Rottis, Pasta","Continental, Asian, South Indian, North Indian","1,800",Dine-out
Obsidian Sports and Music Bar -Gokulam Grand Hotel &...,No,No,3.7 ,37,New BEL Road,Lounge,NA,Continental,"2,000",Dine-out
Beijing Bites,No,No,3.6 ,314,New BEL Road,Casual Dining,"Dragon Rolls, Chowmein, Dragon Chicken, Momos, Chilli Chicken, Hakka Noodles, Malaysian Noodles","Chinese, Thai",850,Dine-out
Rigan Hyderabadi Bawarchi,Yes,No,3.6 ,133,New BEL Road,Casual Dining,"Butter Chicken, Shawarma, Chicken Biryani, Vegetable Biryani, Babycorn Manchurian, Dum Biryani, Noodles","Biryani, North Indian, Chinese",700,Dine-out
Hotel Taj Delight,Yes,No,3.3 ,19,New BEL Road,Casual Dining,NA,"North Indian, Biryani, Arabian",600,Dine-out
Lan Thai,No,No,4.0 ,66,New BEL Road,Casual Dining,Salads,Thai,800,Dine-out
Satrangi,Yes,No,3.7 ,214,New BEL Road,Casual Dining,"Kiwi Juice, Papdi Chaat, Kheer, Veg Buffet, Roti, Pasta, Gulab Jamun","North Indian, South Indian",900,Dine-out
Hotel Panchami Grand,No,No,3.5 ,15,New BEL Road,Casual Dining,NA,"Chinese, North Indian, South Indian",550,Dine-out
Puff Cafe,Yes,No,3.7 ,126,New BEL Road,Cafe,Pasta,"Cafe, Italian, American",700,Dine-out
Chicken County,Yes,No,3.2 ,192,New BEL Road,Quick Bites,"Tandoori Chicken, Rolls, Punjabi Chicken, Hyderabadi Biryani, Butter Chicken","Chinese, North Indian",400,Dine-out
Subhash Mess,No,No,3.7 ,23,New BEL Road,Mess,NA,North Indian,200,Dine-out
Q3 Food Corner,No,No,0,0,New BEL Road,Casual Dining,NA,"South Indian, North Indian",500,Dine-out
Cafe Coffee Day,Yes,No,3.2 ,58,New BEL Road,Cafe,"Brownie, Cappuccino, Burgers","Cafe, Fast Food",900,Dine-out
Namakh Store And Cafe,Yes,No,3.7 ,18,New BEL Road,Cafe,NA,"Cafe, Continental, American",400,Dine-out
Mr. Chef,Yes,No,3.2 ,119,New BEL Road,Casual Dining,NA,"North Indian, Chinese, Biryani",500,Dine-out
Sholay - The Barbeque,Yes,Yes,3.5 ,45,New BEL Road,Casual Dining,NA,"North Indian, BBQ","1,200",Dine-out
Rayalaseema Ruchulu,Yes,No,3.2 ,112,New BEL Road,Casual Dining,NA,"Andhra, North Indian",700,Dine-out
Nomadic Tandoor,Yes,No,3.7 ,168,New BEL Road,Cafe,Biryani,"Cafe, North Indian, Chinese, Continental",700,Dine-out
Kanti Sweets,Yes,No,3.5 ,14,Jalahalli,"Sweet Shop, Quick Bites",NA,"Mithai, Street Food",400,Dine-out
Santo's,Yes,No,3.7 ,69,New BEL Road,Casual Dining,"Biryani, Gulab Jamun, Naan","North Indian, Fast Food",650,Dine-out
Cafe Rossini,Yes,No,3.9 ,431,New BEL Road,Casual Dining,"Pasta, Sandwiches, Chilli Paneer, Chicken Parmigiana, Mocktails, Lamb, Minestrone Soup","Continental, Italian, Chinese",700,Dine-out
The Hundred Food Journey,Yes,Yes,3.8 ,46,New BEL Road,Casual Dining,NA,"Continental, Italian","1,100",Dine-out
Shivas Family Restaurant,No,No,3.4 ,8,New BEL Road,Casual Dining,NA,"North Indian, Chinese",550,Dine-out
NalaMaharaja,No,No,3.3 ,7,New BEL Road,Casual Dining,NA,North Indian,500,Dine-out
Sindhu Family Restaurant,No,No,3.2 ,4,New BEL Road,Casual Dining,NA,"North Indian, Chinese, Seafood",600,Dine-out
Chaiywaala Da Dhaba,Yes,No,3.7 ,67,New BEL Road,Cafe,"Ginger Chai, Pakoda, Tea, Paneer Thali, Chole Bhature","Cafe, Tea",250,Dine-out
AQNI,Yes,No,3.6 ,89,New BEL Road,Casual Dining,"Mutton Biryani, Shawarma, Roti","North Indian, Mughlai, Biryani, Rolls",650,Dine-out
The Banana Kick,Yes,No,3.3 ,9,New BEL Road,Cafe,NA,"Cafe, Beverages",600,Dine-out
Swiss Bakery Cafe - Gokulam Grand Hotel & Spa,No,No,3.3 ,6,New BEL Road,"Cafe, Bakery",NA,"Cafe, Bakery",400,Dine-out
Durga Mess,No,No,3.6 ,33,New BEL Road,Mess,NA,North Indian,150,Dine-out
A2B - Adyar Ananda Bhavan,Yes,No,3.0 ,50,New BEL Road,Casual Dining,Pongal,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Dine-out
H3O,No,No,3.2 ,9,New BEL Road,Casual Dining,NA,"North Indian, Chinese","1,000",Dine-out
Brewbakes,No,No,3.3 ,7,New BEL Road,Cafe,NA,"Cafe, Pizza, Italian, Sandwich",450,Dine-out
Cafe Centralis,Yes,No,2.8 ,114,New BEL Road,Cafe,"Pasta, Coffee, Pizza, Burgers, Momos, Latte, Americano",Cafe,600,Dine-out
Mayuri,No,No,2.5 ,79,New BEL Road,Casual Dining,Biryani,"Andhra, North Indian, Chinese",700,Dine-out
Food Feed Restaurant,No,No,3.7 ,29,New BEL Road,Casual Dining,NA,"Arabian, Chinese, Kerala, North Indian",750,Dine-out
RS Shiv Sagar Express,Yes,No,0,0,New BEL Road,Quick Bites,NA,"South Indian, North Indian, Chinese, Fast Food",300,Dine-out
Delhi Mess,Yes,No,4.1 ,500,New BEL Road,Quick Bites,"Aloo Paratha, Roti, Butter Chicken","North Indian, Chinese",300,Dine-out
Deccan House,Yes,No,4.0 ,409,New BEL Road,Quick Bites,"Hyderabadi Biryani, Chicken Biryani, Vegetable Biryani","Hyderabadi, Biryani",350,Dine-out
Leon Grill,Yes,No,4.0 ,336,New BEL Road,Quick Bites,"Burgers, Peri Peri Chicken, Salad, Nachos, Peri Peri Wings, Chicken Fries, Salads","Fast Food, Healthy Food",500,Dine-out
Domino's Pizza,Yes,No,3.9 ,487,New BEL Road,Quick Bites,"Garlic Bread, Pasta, Chicken Wings, Chocolava, Spicy Chicken, Cheesy Pizza","Pizza, Fast Food",400,Dine-out
Lazeez Biryani,Yes,No,4.0 ,50,New BEL Road,Quick Bites,NA,"North Indian, Chinese, Mughlai, Hyderabadi",400,Dine-out
Polar Bear,Yes,No,4.1 ,322,New BEL Road,Dessert Parlor,"Sandwiches, Spinach Corn Sandwich, Tiramisu, Brownie, Burgers, Chocolava, Banana Split","Desserts, Ice Cream, Beverages, Sandwich",400,Dine-out
Subway,No,No,3.7 ,167,New BEL Road,Quick Bites,"Sandwich, Chicken Ham, Sandwiches, Chicken Tikka","Healthy Food, Sandwich, Salad",500,Dine-out
The Waffle Yard,No,No,4.2 ,149,New BEL Road,"Dessert Parlor, Quick Bites","Nutella Waffle, Chocolate Waffles, Banana Caramel","Desserts, Fast Food",300,Dine-out
Burger King,Yes,No,4.0 ,559,New BEL Road,Quick Bites,"Burgers, Chicken Wings, Mango Shake, Chicken Crisp Burger, Cheesy Fries, Chicken Fries, Burger Meal","Burger, Fast Food, Beverages",600,Dine-out
McDonald's,Yes,No,3.9 ,281,New BEL Road,Quick Bites,"Burgers, Coke Float, French Fries","Burger, Fast Food",500,Dine-out
New Oottupura Restaurant,Yes,No,3.5 ,226,New BEL Road,Quick Bites,"Kerala Parotta, Shawarma",Kerala,300,Dine-out
Roy Hotel & Restaurant,Yes,No,4.0 ,124,New BEL Road,Quick Bites,"Mishti Doi, Doi Katla, Mutton Kosha, Fish Curry, Aloo Posto, Gulab Jamun","Bengali, North Indian",300,Dine-out
Donne Biriyani Angadi Mane,Yes,No,3.8 ,161,New BEL Road,Quick Bites,NA,"Biryani, Chinese",250,Dine-out
Flavours Inn,Yes,No,3.7 ,59,New BEL Road,Quick Bites,"Sea Food, Malabar Fish Curry","Kerala, North Indian, Chinese",500,Dine-out
Shahi Darbar Roll Centre,No,No,3.9 ,50,New BEL Road,Quick Bites,NA,"Street Food, Rolls",400,Dine-out
The Street Kitchen,Yes,No,3.7 ,16,New BEL Road,Quick Bites,NA,"North Indian, Fast Food, Chinese, Beverages",300,Dine-out
Eggstacy,Yes,No,4.0 ,233,New BEL Road,Quick Bites,"Egg Manchurian, Paratha, Momos, Masala Chai, Raj Kachori, Rolls, Chaat","Fast Food, Continental, Chinese",500,Dine-out
Shri Udupi Cafe,Yes,No,3.9 ,31,New BEL Road,Quick Bites,NA,"South Indian, North Indian, Mughlai, Chinese, Street Food, Beverages",300,Dine-out
Panchami Garden,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
Pot Biryani,Yes,No,3.8 ,154,New BEL Road,Quick Bites,Biryani,"North Indian, Chinese, Biryani",450,Dine-out
G8 Punjabi Tadka,No,No,3.7 ,15,New BEL Road,Quick Bites,NA,North Indian,200,Dine-out
Oottupura,Yes,No,2.6 ,166,New BEL Road,Quick Bites,"Chicken Grill, Shawarma, Rolls, Biryani, Kerala Parotta","Kerala, North Indian, Chinese, Rolls, Juices",350,Dine-out
The Krishna Grand,No,No,3.8 ,23,New BEL Road,Quick Bites,NA,"North Indian, South Indian",400,Dine-out
Gowdru Mane,No,No,3.6 ,26,New BEL Road,Quick Bites,NA,"Andhra, North Indian, Chinese",300,Dine-out
Kitty's Cafe,Yes,No,3.6 ,43,New BEL Road,Quick Bites,NA,Fast Food,300,Dine-out
Salaam Sigri Rolls & Kebabs,Yes,No,3.8 ,162,New BEL Road,Quick Bites,"Rolls, Chicken Tikka, Chicken Seekh Roll, Seekh Kebab, Aloo Tikka Roll, Murgh Malai Kebab, Beda Roti","Rolls, Mughlai",300,Dine-out
Toast And Salad,Yes,No,3.5 ,25,New BEL Road,Quick Bites,NA,Healthy Food,300,Dine-out
Flavors of North,Yes,No,3.3 ,240,New BEL Road,Quick Bites,"Malai Kofta, Fries, Chicken Biryani, Stuffed Kulcha","North Indian, Chinese, Biryani",400,Dine-out
KL-58 Thalassery Cafe,No,No,3.5 ,14,New BEL Road,Quick Bites,NA,Kerala,200,Dine-out
Bhukkad,Yes,No,3.3 ,6,New BEL Road,Quick Bites,NA,"North Indian, Mughlai",300,Dine-out
Andhra Spice Mess,Yes,No,3.4 ,9,New BEL Road,Quick Bites,NA,"Andhra, Biryani, North Indian, Chinese",250,Dine-out
Sunaina Sapice,Yes,No,3.3 ,7,New BEL Road,Quick Bites,NA,"South Indian, North Indian, Chinese",200,Dine-out
Rolls Kitchen,No,No,3.5 ,18,New BEL Road,Quick Bites,NA,"Fast Food, Rolls",250,Dine-out
Banashankari Restaurant,Yes,No,3.6 ,24,New BEL Road,Quick Bites,NA,South Indian,400,Dine-out
KFC,Yes,No,3.9 ,581,New BEL Road,Quick Bites,"Burgers, Chicken Grill, Chicken Popcorn, Hot Wings","Burger, Fast Food",400,Dine-out
Cinnamon - Grills and Gourmet,No,No,3.6 ,10,New BEL Road,Quick Bites,NA,"Chinese, South Indian",400,Dine-out
Chaat Street,Yes,No,4.1 ,675,New BEL Road,Quick Bites,"Chaat, Pav Bhaji, Bhel Puri, Dahipuri, Vada Pav, Raj Kachori, Samosa","Street Food, North Indian",250,Dine-out
Eat & Drink,Yes,No,3.5 ,15,New BEL Road,"Quick Bites, Beverage Shop",NA,"Fast Food, Chinese, Beverages",300,Dine-out
Khan Saheb Grills and Rolls,Yes,No,3.7 ,114,New BEL Road,Quick Bites,"Rolls, Paneer Tikka Roll, Chicken Reshmi Tikka Roll, Beda Roti",Fast Food,400,Dine-out
Goli Vada Pav No. 1,Yes,No,3.7 ,38,New BEL Road,Quick Bites,NA,Street Food,200,Dine-out
Kusum Rolls,No,No,3.5 ,21,New BEL Road,Quick Bites,NA,Street Food,300,Dine-out
Mumbai Xpress,Yes,No,3.7 ,418,New BEL Road,Quick Bites,"Pav Bhaji, Paratha, Pizza Sandwich, Burgers, Vada Pav, Chocolate Mousse, Sandwiches","Street Food, Fast Food",400,Dine-out
Deepak Paratha Plaza,No,No,3.5 ,18,New BEL Road,Quick Bites,NA,"North Indian, Street Food",200,Dine-out
Aditya Delights,No,No,3.7 ,59,New BEL Road,Quick Bites,NA,"Chinese, North Indian, Mangalorean",300,Dine-out
Jeet Punjabi Tadka,No,No,3.5 ,17,New BEL Road,Quick Bites,NA,"North Indian, South Indian",500,Dine-out
Little Bites,No,No,3.8 ,184,New BEL Road,Quick Bites,"Pasta, Sandwiches, Chicken Jumbo Burger, Burgers, Lime Soda Sweet, Sandwich, Fried Cheese",Fast Food,400,NA
Wow! Sikkim Momo,No,No,3.3 ,18,New BEL Road,Quick Bites,NA,"Chinese, North Indian, Momos",150,Dine-out
Sultan Rolls & Sandwiches,No,No,3.9 ,59,New BEL Road,Quick Bites,NA,"Fast Food, Rolls",300,Dine-out
S L N Paratha Center,No,No,3.3 ,14,New BEL Road,Quick Bites,NA,North Indian,200,Dine-out
Bihar Bhojanalaya,No,No,3.1 ,14,New BEL Road,Quick Bites,NA,"North Indian, Bihari",200,Dine-out
Majaa Thindi,Yes,No,3.9 ,37,New BEL Road,Quick Bites,NA,South Indian,100,Dine-out
Udupi Tazza Thindi,No,No,3.2 ,7,New BEL Road,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
Aarti Paratha & Rolls Corner,Yes,No,3.6 ,15,New BEL Road,Quick Bites,NA,"North Indian, Fast Food",200,Dine-out
Kolkata Famous Katti Rolls,No,No,3.5 ,22,New BEL Road,Quick Bites,NA,Rolls,200,Dine-out
Ketty's Corner,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"Fast Food, Street Food, Beverages",200,Dine-out
Koithio Kitchen,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"Chinese, Momos",600,Dine-out
Bengal Biriyani,No,No,2.9 ,28,New BEL Road,Quick Bites,NA,Biryani,150,Dine-out
Tasty Corner,No,No,3.6 ,13,New BEL Road,Quick Bites,NA,South Indian,200,Dine-out
Paratha Club,No,No,3.6 ,16,New BEL Road,Quick Bites,NA,North Indian,200,Dine-out
NOC Cafe & Catering,Yes,No,3.2 ,7,New BEL Road,Quick Bites,NA,"North Indian, Fast Food",400,Dine-out
Wow Sikkim Momo's,No,No,3.5 ,11,New BEL Road,Quick Bites,NA,"Chinese, North Indian",300,Dine-out
Carbon Cup,Yes,No,3.5 ,12,New BEL Road,Quick Bites,NA,"North Indian, Arabian, Fast Food, Chinese",400,Dine-out
Cafe Lassi Lab,Yes,No,3.3 ,6,New BEL Road,"Quick Bites, Beverage Shop",NA,"Fast Food, Beverages",300,Dine-out
Chetty's Coffee,Yes,No,3.9 ,267,New BEL Road,Quick Bites,"Filter Coffee, Vada, Chai, Caramel Coffee, Masala Dosa, Kesari Bath, Veg Dosa",South Indian,200,Dine-out
Eatsaa,No,No,3.5 ,8,New BEL Road,Quick Bites,NA,Chinese,300,Dine-out
Gupshap,No,No,3.5 ,5,New BEL Road,Quick Bites,NA,South Indian,300,Dine-out
Qooked Restaurant,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"South Indian, Andhra, Chinese, North Indian",300,Dine-out
GET ur FIX @ Chote Miya,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,Fast Food,300,Dine-out
Donne Biryani & Egg Rice Adda,No,No,3.3 ,8,New BEL Road,Quick Bites,NA,"Kebab, Biryani",200,Dine-out
Kolkata Hot Roll,Yes,No,3.4 ,4,New BEL Road,Quick Bites,NA,Rolls,150,Dine-out
Ice Magic,No,No,3.4 ,6,New BEL Road,Quick Bites,NA,"Ice Cream, Fast Food, Beverages, Burger, Desserts, Juices",250,Dine-out
Sun Cafe,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"North Indian, Chinese, Rolls",300,Dine-out
Munch Box,No,No,0,0,New BEL Road,Quick Bites,NA,"North Indian, Fast Food, South Indian",400,Dine-out
New Delhi Dharbaar,No,No,0,0,New BEL Road,Quick Bites,NA,North Indian,300,Dine-out
Shawarma & Kolkata Rolls,No,No,3.3 ,4,New BEL Road,Quick Bites,NA,"Rolls, Fast Food",100,Dine-out
Om Sai Ram Food Junction,No,No,3.7 ,39,Yeshwantpur,Quick Bites,NA,North Indian,200,Dine-out
Sree Ayyappaa Foods,No,No,0,0,New BEL Road,Quick Bites,NA,"South Indian, North Indian",300,Dine-out
Tasty Fast Food,No,No,3.2 ,4,New BEL Road,Quick Bites,NA,"North Indian, Chinese",250,Dine-out
Five Star Chicken,Yes,No,3.7 ,32,New BEL Road,Quick Bites,NA,"Fast Food, Burger",300,Dine-out
New Curries & Spice Restaurant,Yes,No,2.9 ,7,New BEL Road,Quick Bites,NA,South Indian,200,Dine-out
Tripti Hotel & Restaurant,No,No,3.6 ,18,New BEL Road,Quick Bites,NA,"Biryani, South Indian, North Indian",200,Dine-out
Totaram's Paranthas,Yes,No,3.5 ,140,New BEL Road,Quick Bites,"Cheese Paratha, Lassi, Pizza, Paneer Parantha",North Indian,300,Dine-out
Tandoori Delight,Yes,No,3.0 ,46,New BEL Road,Quick Bites,NA,"North Indian, Chinese",300,Dine-out
Donne Biryani Mane,Yes,No,3.8 ,62,New BEL Road,Quick Bites,NA,Biryani,300,Dine-out
Fresh Veg,Yes,No,2.7 ,94,New BEL Road,Quick Bites,"Chaat, Lassi, Tawa Pulav, Potato Twister, Dal Makhani, Chole Bhature, Rajma","Street Food, North Indian",300,Dine-out
Sri Krishna Bhavan Sweets,No,No,3.9 ,56,Sanjay Nagar,"Sweet Shop, Quick Bites","Fruit Juices, Chaat","Mithai, Street Food",350,Dine-out
Kuttanadu Family Restaurant,Yes,No,3.6 ,17,Jalahalli,Casual Dining,NA,"Seafood, South Indian",600,Dine-out
Malgudi Natti Style Hotel,Yes,No,3.6 ,13,Sahakara Nagar,Quick Bites,NA,South Indian,400,Dine-out
Kadamba Gardenia,No,No,3.6 ,74,Jalahalli,Casual Dining,"Set Dosa, Thali, Rava Masala Dosa","South Indian, Chinese, North Indian, Street Food",400,Dine-out
The Momo Farm,Yes,No,3.7 ,25,Jalahalli,Quick Bites,NA,"Chinese, Tibetan",300,Dine-out
Atithi Satkar,No,No,3.7 ,91,Sanjay Nagar,Casual Dining,"Vada, Lime Soda, Thali, Masala Dosa","South Indian, North Indian, Fast Food, Chinese",400,Dine-out
Bharath Restaurant,Yes,No,3.1 ,37,Jalahalli,Casual Dining,NA,"North Indian, Chinese",450,Dine-out
Wok Chow,Yes,No,3.9 ,164,Sanjay Nagar,Quick Bites,"Momos, Shanghai Chicken","Chinese, Thai, Momos",300,Dine-out
Rotti Mane,Yes,No,3.5 ,27,Sanjay Nagar,Quick Bites,NA,South Indian,200,Dine-out
Kishi's Cafe,Yes,No,3.5 ,14,Sahakara Nagar,Quick Bites,NA,"Fast Food, Street Food",500,Dine-out
Hyderabadi Bawarchi Multi Cuisine Restaurant,No,No,3.0 ,100,Hebbal,Casual Dining,NA,"Biryani, North Indian, Chinese",600,Dine-out
Kolkata Refreshments,No,No,3.0 ,14,Sanjay Nagar,Quick Bites,NA,"Bengali, Fast Food",200,Dine-out
Chinese Corner and Bengali Mess,Yes,No,3.5 ,28,Sanjay Nagar,Mess,NA,"Chinese, Bengali",300,Dine-out
Royal Garden Restaurant,Yes,No,3.6 ,12,Hebbal,Casual Dining,NA,"North Indian, Chinese",700,Dine-out
Udupi South Saviruchi,Yes,No,3.7 ,15,Jalahalli,Quick Bites,NA,"South Indian, North Indian, Chinese, Street Food",250,Dine-out
Samba Shake N Juice,No,No,3.5 ,11,Sanjay Nagar,Quick Bites,NA,"Fast Food, Juices",200,Dine-out
Sea Salt,No,No,3.7 ,18,Sahakara Nagar,Quick Bites,NA,"South Indian, Seafood",600,Dine-out
Shree Sagar,No,No,2.9 ,16,Yeshwantpur,Casual Dining,NA,"South Indian, North Indian, Chinese",450,Dine-out
South Saviruchi,No,No,3.3 ,7,Jalahalli,Quick Bites,NA,South Indian,250,Dine-out
Cheta's Kitchen,Yes,No,3.9 ,78,Yelahanka,Quick Bites,"Appam, Fish Curry, Fish Fry, Pothichoru","Kerala, South Indian, Seafood",350,Dine-out
Hattke,No,No,3.5 ,27,Sahakara Nagar,Quick Bites,NA,"North Indian, South Indian",350,Dine-out
Delight Fast Food & Restaurant,Yes,No,2.8 ,36,Yeshwantpur,Casual Dining,NA,"North Indian, Chinese",550,Dine-out
PRS Indian Food Restaurant,Yes,No,2.9 ,49,Yeshwantpur,Quick Bites,NA,"Chinese, North Indian, South Indian",200,Dine-out
Tasty Box,Yes,No,3.0 ,29,Sanjay Nagar,Quick Bites,NA,"North Indian, Chinese, Seafood",500,Dine-out
Kamat Upahaar,No,No,2.8 ,28,Jalahalli,Quick Bites,NA,"South Indian, North Indian",200,Dine-out
Star Food County,Yes,No,3.4 ,11,Sanjay Nagar,Kiosk,NA,Fast Food,300,Dine-out
Sketches,No,No,3.5 ,14,Sahakara Nagar,Quick Bites,NA,"South Indian, Fast Food",350,Dine-out
KurryWheels,Yes,No,3.4 ,8,North Bangalore,Food Truck,NA,"North Indian, Chinese",200,Dine-out
Natural Veg,Yes,No,3.1 ,22,Sanjay Nagar,Quick Bites,NA,"North Indian, Street Food",250,Dine-out
The Higher Taste,No,No,3.3 ,6,Sanjay Nagar,Quick Bites,NA,"North Indian, Fast Food",350,Dine-out
Kolkata Famous Kati Rolls,Yes,No,3.8 ,79,Hebbal,Quick Bites,NA,"Fast Food, Rolls",200,Dine-out
SKS Veg Corner,Yes,No,3.4 ,43,Sahakara Nagar,Quick Bites,NA,South Indian,300,Dine-out
Bengaluru Cafe,No,No,3.3 ,4,Sanjay Nagar,Quick Bites,NA,South Indian,150,Dine-out
Lasagna,No,No,0,0,Sahakara Nagar,Quick Bites,NA,Italian,300,Dine-out
Abzain Paradise,No,No,2.9 ,42,Sanjay Nagar,Quick Bites,NA,North Indian,300,Dine-out
Mabra Family Restaurant,Yes,No,3.1 ,33,Sanjay Nagar,Quick Bites,NA,"North Indian, Chinese",450,Dine-out
